listing_id,available_date,available,price,minimum_nights,maximum_nights
2482916,2020/10/21,f,500,1,1125
2483752,2020/10/20,f,225,1,1125
2488935,2020/10/20,f,650,3,14
2489487,2020/10/24,f,775,1,1125
2489196,2020/10/24,f,95,2,10
2492407,2020/10/20,f,120,2,20
2493870,2020/10/22,t,450,4,1125
2493385,2020/10/20,t,400,2,1125
2496308,2020/10/20,f,100,2,10
2499077,2020/10/21,t,150,1,1125
2498866,2020/10/22,t,275,1,1125
2500385,2020/10/20,f,65,1,1125
2501144,2020/10/22,f,100,1,14
2501145,2020/10/23,t,200,1,1125
2501888,2020/10/21,t,88,1,14
2509594,2020/10/20,f,400,1,6
2502431,2020/10/20,f,175,2,1125
2502288,2020/10/24,f,115,2,14
2512706,2020/10/22,f,200,1,1125
2516299,2020/10/23,f,185,2,5
2514966,2020/10/22,f,999,1,1125
2519952,2020/10/20,f,200,1,1125
2521310,2020/10/20,f,225,1,1125
2521003,2020/10/20,t,125,2,5
2526099,2020/10/22,f,180,1,5
2524101,2020/10/20,f,59,1,100
2521443,2020/10/22,f,165,28,60
2528829,2020/10/22,t,300,1,1125
2528473,2020/10/21,f,65,1,1125
2529203,2020/10/20,f,198,2,1125
2546012,2020/10/22,f,83,30,1125
2546818,2020/10/20,f,73,3,90
2551278,2020/10/22,f,70,1,1125
2553977,2020/10/20,f,120,3,1125
2556255,2020/10/22,f,180,1,1125
2592427,2020/10/20,t,75,1,100
2594010,2020/10/20,f,89,2,1125
2650844,2020/10/23,f,440,3,1125
2639623,2020/10/21,f,119,2,60
2657000,2020/10/22,f,70,30,1125
2665394,2020/10/20,f,155,14,300
2663425,2020/10/20,f,899,3,1125
2677765,2020/10/20,f,119,2,7
2708067,2020/10/20,f,250,3,1125
2665977,2020/10/21,t,90,2,7
2723009,2020/10/20,f,500,2,14
2716088,2020/10/21,f,150,2,1125
2736478,2020/10/20,f,120,7,180
2774094,2020/10/20,f,125,2,1125
2746300,2020/10/24,f,70,14,1125
2832008,2020/10/20,f,160,3,1125
2832087,2020/10/20,f,170,2,1125
2855422,2020/10/20,f,120,2,1125
2855712,2020/10/22,f,165,,
2885662,2020/10/20,f,1000,3,1125
2867059,2020/10/22,f,62,2,1125
2902979,2020/10/20,f,175,1,365
2924714,2020/10/22,f,150,2,1125
2914322,2020/10/22,f,500,3,5
2964193,2020/10/20,f,375,2,1125
2926708,2020/10/20,f,1200,2,1125
2979070,2020/10/22,t,150,1,1125
2967072,2020/10/22,f,425,3,1125
2979222,2020/10/22,f,260,,
2984602,2020/10/20,f,139,2,1125
2989481,2020/10/20,f,179,2,1125
2989235,2020/10/20,f,200,2,10
2992224,2020/10/22,f,145,,
2989616,2020/10/21,f,35,30,90
3013429,2020/10/24,t,796,1,1125
3028269,2020/10/20,f,60,1,7
2994424,2020/10/22,f,169,2,1125
3032156,2020/10/20,f,175,2,1125
3053308,2020/10/20,f,48,30,1125
3091862,2020/10/22,f,525,3,1125
3104453,2020/10/20,t,131,1,365
3104715,2020/10/20,t,118,1,365
3124593,2020/10/22,t,650,,
3122479,2020/10/22,t,363,1,365
3125271,2020/10/22,f,250,2,4
3151369,2020/10/20,t,149,1,1125
3130995,2020/10/24,t,222,2,1125
3154788,2020/10/20,t,105,30,1125
3158012,2020/10/20,f,75,30,1125
3214547,2020/10/22,t,700,3,1125
3163510,2020/10/22,t,78,1,1125
3225770,2020/10/20,f,176,30,120
3229143,2020/10/20,f,160,3,1125
3230604,2020/10/20,f,149,1,1125
3271751,2020/10/24,f,89,5,330
3271554,2020/10/20,f,57,31,180
3281553,2020/10/22,f,349,2,60
3294079,2020/10/20,f,85,3,1125
3294395,2020/10/20,f,199,1,1125
3294758,2020/10/20,f,108,2,40
3349126,2020/10/20,f,119,1,365
3349943,2020/10/24,f,249,1,365
3349679,2020/10/22,t,202,1,365
3353855,2020/10/24,f,35,1,32
3386939,2020/10/22,f,113,1,1125
3404974,2020/10/21,f,129,2,30
3416245,2020/10/21,f,175,2,90
3424259,2020/10/20,t,63,1,1125
3441118,2020/10/20,f,380,30,30
3432804,2020/10/24,f,600,3,1125
3475010,2020/10/20,f,109,1,1125
3478000,2020/10/22,f,159,2,1125
3495822,2020/10/22,f,55,1,10
3504013,2020/10/22,f,115,31,1125
3534046,2020/10/20,f,64,19,1125
3513732,2020/10/20,f,215,1,1125
3539813,2020/10/20,f,115,2,11
3539968,2020/10/20,f,100,3,1125
3543315,2020/10/20,f,500,1,1125
3543410,2020/10/20,f,81,2,1125
3548997,2020/10/20,t,117,1,365
3549443,2020/10/20,t,119,1,365
3543027,2020/10/20,f,750,2,21
3549253,2020/10/24,f,228,1,365
3594213,2020/10/23,f,150,30,1125
3609272,2020/10/20,t,118,1,365
3603024,2020/10/20,t,89,1,30
3613678,2020/10/20,f,200,2,1125
3615030,2020/10/22,t,599,1,1125
3629021,2020/10/22,f,65,68,1125
3637181,2020/10/22,f,150,30,1125
3649811,2020/10/20,t,385,1,1125
3667392,2020/10/20,f,174,1,365
3655306,2020/10/20,f,175,2,1125
3689085,2020/10/22,f,99,2,1125
3720498,2020/10/20,f,400,1,5
3781742,2020/10/20,f,250,3,3
3757576,2020/10/20,f,450,2,14
3791735,2020/10/20,f,150,2,60
3791074,2020/10/22,f,400,1,7
3801572,2020/10/22,f,53,2,1125
3802304,2020/10/20,t,155,2,1125
3828619,2020/10/20,f,36,2,1125
3840726,2020/10/21,t,149,2,28
3831262,2020/10/20,f,59,1,1125
3862246,2020/10/20,t,28,1,2
3868266,2020/10/20,f,60,30,356
3876436,2020/10/22,f,200,1,1125
3875997,2020/10/22,f,289,3,14
3882146,2020/10/20,f,99,30,1125
3883966,2020/10/22,f,999,2,7
3882984,2020/10/20,f,57,90,1125
3904915,2020/10/20,f,120,7,1125
3893861,2020/10/21,f,45,30,90
3905528,2020/10/20,t,300,1,4
3911693,2020/10/24,f,95,30,1125
3913413,2020/10/20,f,100,2,1125
3916923,2020/10/22,f,1600,2,1124
3916583,2020/10/22,f,150,2,1125
3928248,2020/10/21,f,38,5,1125
3939734,2020/10/20,f,75,1,1125
3931350,2020/10/20,f,250,1,1125
3946696,2020/10/22,f,123,3,1125
3947145,2020/10/20,f,95,1,9
3959242,2020/10/20,f,150,2,1125
3958601,2020/10/24,t,444,2,1125
202753,2020/10/20,f,175,3,14
207054,2020/10/22,f,135,2,1125
208897,2020/10/20,f,189,2,1125
