host_id,host_name,host_since,host_is_superhost,host_listings_count
2466,Paddy,2008/08/23,f,3
8028,Sylvia,2009/02/16,t,1
7148,Peggy,2009/01/27,f,1
8186,Elizabeth,2009/02/19,t,1
13879,Todd,2009/04/17,t,1
14156,Amy,2009/04/20,t,2
80406,Dani,2010/02/11,t,10
84906,Stacey,2010/02/24,t,2
56488,David,2009/11/22,t,1
89031,Gina,2010/03/06,t,1
102862,Elana,2010/04/03,t,1
140174,Tiffany,2010/06/07,f,1
161189,Chris,2010/07/08,t,1
210965,Susan,2010/08/24,t,2
170787,Robbie,2010/07/18,f,1
215917,Belinda,2010/08/28,t,1
12409,Flip,2009/04/06,f,2
268988,Stephanie,2010/10/23,t,2
272156,Lois,2010/10/27,t,2
336916,Drew,2011/01/06,t,1
347068,Particular Properties,2011/01/14,t,3
82762,Dolina,2010/02/18,t,1
355348,Jason,2011/01/20,t,1
374529,Alyson & Max,2011/02/02,f,4
377037,Becca,2011/02/04,f,1
378744,Ellen And Andy,2011/02/05,t,1
379080,Becky,2011/02/06,t,3
128514,Vivian,2010/05/20,t,1
382510,Christina,2011/02/08,t,2
387918,Amy & Justin,2011/02/11,f,1
393905,David,2011/02/15,t,2
404260,Kelly,2011/02/22,t,2
177441,Ash,2010/07/22,f,2
408534,Kevin And Bob,2011/02/24,t,1
394012,Peter,2011/02/15,t,1
411190,Lynn,2011/02/26,f,1
1665428,Krista,2012/01/28,f,1
416628,Carlos,2011/03/01,t,2
419006,Jordan,2011/03/02,f,1
419192,Keith And Shannon,2011/03/02,t,1
419707,Julia,2011/03/02,f,3
421002,E. Dixie,2011/03/03,f,1
423840,Marcus,2011/03/05,t,1
2157243,Sean,2012/04/17,f,14
425706,Robert,2011/03/06,t,6
427758,Ford,2011/03/07,t,1
428883,Beau,2011/03/07,t,1
430091,Shawn,2011/03/08,f,2
436771,Merlyn,2011/03/11,f,1
445746,Kimberly,2011/03/16,f,1
456230,Michele,2011/03/22,t,1
321037,Lucien,2010/12/17,f,2
487072,Greg & Amanda,2011/04/05,t,10
543367,Mary,2011/04/28,t,2
552705,"Amanda (Marz, Nickname)",2011/05/02,t,2
578211,Pete,2011/05/11,t,9
578249,Larry And Susan,2011/05/11,f,2
634580,Morrie And Rachel,2011/05/27,t,4
688306,Epiphany,2011/06/10,f,1
475506,Dan,2011/03/31,f,1
741170,Scott,2011/06/24,f,1
372205,Keith,2011/02/01,f,3
760426,Lis,2011/06/29,f,1
628942,Marnie,2011/05/26,f,1
746286,Isabel,2011/06/26,f,1
835236,Jenny,2011/07/18,t,1
518748,Rachel,2011/04/18,f,3
951551,Lori,2011/08/10,f,1
989596,John,2011/08/18,t,2
729047,Tracy,2011/06/21,f,1
1018853,Merri Gale & Donald,2011/08/25,t,1
1029071,Suzanne,2011/08/28,t,1
1134580,Kalu,2011/09/09,f,1
1114843,Kris,2011/09/05,f,1
1157982,Lyon,2011/09/14,t,4
1169129,David And Kristy,2011/09/16,t,1
51183342,Hunter,2015/12/13,t,9
1182382,Sharon,2011/09/19,f,1
1246229,Elizabeth,2011/10/04,f,4
1250939,Kerry,2011/10/05,t,4
1298575,Gloria,2011/10/16,f,1
1208485,Caitlin,2011/09/25,t,2
1418696,Kelsey,2011/11/17,f,1
746455,Michael,2011/06/26,f,2
1471597,Teresa,2011/12/04,f,1
1523587,Dallas,2011/12/21,f,20
1282837,Joseph,2011/10/12,t,3
167892,Veronica,2010/07/15,t,2
1566930,Chris,2012/01/04,t,0
1568741,Jim O',2012/01/05,t,15
1614097,Denise,2012/01/16,f,1
1617870,John,2012/01/17,f,1
1626165,Gretchen,2012/01/19,f,1
814883,Kristen,2011/07/13,t,13
1640158,Jeremy,2012/01/22,f,1
1640172,Gary,2012/01/22,t,2
1641993,Stephanie,2012/01/23,f,1
1644741,Liz,2012/01/23,f,1
1647037,Sara,2012/01/24,f,2
1142525,James,2011/09/11,f,1
3797734,Leslie And Dylan,2012/10/08,f,1
1654178,Erik & Crystal,2012/01/26,f,1
1660476,Mark,2012/01/27,f,0
1666874,Abbie & Brian,2012/01/29,f,2
1665442,Lionel & Beth,2012/01/28,t,1
1680871,Janet,2012/01/31,f,1
880571,Angel,2011/07/27,t,6
1685125,Janet,2012/02/01,f,2
1690383,Sandra,2012/02/02,f,1
1697428,Ashly,2012/02/04,f,1
1698318,Virginia,2012/02/04,t,1
1700729,Larry And Joanna,2012/02/05,f,1
608539,D,2011/05/20,f,1
1707903,Stephen,2012/02/06,f,1
261883,Carolyn,2010/10/14,f,1
1714022,Jessica,2012/02/07,t,1
1143953,Linda And Lia,2011/09/11,t,1
1725752,Shanti,2012/02/09,f,1
531267,Shelley,2011/04/24,t,6
4569,Glory,2008/11/24,f,1
1205884,Luke And Rachel,2011/09/25,f,1
1733004,Julie,2012/02/10,t,1
1736662,Teresa,2012/02/11,f,1
1739997,Gabrielle,2012/02/12,f,1
1742984,Rachel,2012/02/13,f,2
1744639,Darcy,2012/02/13,f,1
1644218,Cecily,2012/01/23,t,2
1751224,Whitney,2012/02/14,t,1
1752493,Gigi,2012/02/14,t,3
1755933,Janine,2012/02/15,f,1
1761506,Doug & Savanna,2012/02/16,t,2
1761915,Charm,2012/02/16,t,2
1763086,Debbie,2012/02/16,t,1
1763742,Amber,2012/02/17,f,1
1975748,Meredith,2012/03/20,f,5
1771402,Cindie,2012/02/18,f,1
1782559,Julie,2012/02/20,f,1
1788349,Jeannie,2012/02/21,t,2
1789494,Lara,2012/02/21,t,1
1792021,Mykel,2012/02/22,f,1
1795232,Sara,2012/02/22,f,1
1795524,Sarah,2012/02/22,t,1
2049988,Mike,2012/04/01,f,1
1798140,Scott,2012/02/23,f,1
1798084,Jeffrey,2012/02/23,f,1
1798834,Joan,2012/02/23,f,1
1801114,An,2012/02/23,f,1
1805253,Trey,2012/02/24,f,1
1805524,Jai,2012/02/24,f,1
1806205,Varun,2012/02/25,f,3
1809146,David,2012/02/25,f,1
1808807,Renee,2012/02/25,t,4
1812799,Monica,2012/02/26,t,1
1815367,Kathy,2012/02/26,f,1
1831617,Chris,2012/02/29,f,1
1832618,Robert,2012/02/29,t,1
213651,Daniel,2010/08/26,t,2
1840480,Scott And Sally,2012/03/01,t,9
1839064,Adriana,2012/03/01,f,1
871765,Bruce,2011/07/26,f,1
1845598,D.K.,2012/03/02,t,1
1488733,Vacasa Texas,2011/12/09,t,30
1854873,Alex,2012/03/04,t,1
1855238,Caroline,2012/03/04,t,1
1856695,John,2012/03/04,f,1
1858184,Carlos,2012/03/04,f,0
1861886,Sarah,2012/03/05,f,1
1887493,Susan,2012/03/08,f,4
1929911,Ernest,2012/03/15,f,1
1652515,Cynthia,2012/01/25,t,1
1726978,Benjamin,2012/02/09,f,2
1275188,Susie & Eoin,2011/10/11,t,1
2141281,Melanie,2012/04/14,f,2
2177425,Aga & B,2012/04/19,f,2
2200336,Gretchen,2012/04/23,t,1
1021729,Nita,2011/08/25,f,2
2354063,Marit,2012/05/12,f,0
1918269,Amanda,2012/03/13,t,3
2402591,Jane,2012/05/17,t,1
2476440,Michelle,2012/05/27,t,2
793021,Steve,2011/07/08,t,1
2546917,Clint,2012/06/04,f,1
2546775,Rice,2012/06/04,t,1
2567934,Alexis,2012/06/06,t,1
2507231,Kris,2012/05/31,t,2
2595932,Amber,2012/06/10,t,2
2484820,Sheila,2012/05/28,f,2
2457470,Sharon,2012/05/24,t,2
4335991,Karen,2012/12/05,t,5
2771838,Pamela,2012/06/28,f,1
16872,Melissa,2009/05/12,f,2
2839795,Margo,2012/07/05,t,1
2773345,Mary,2012/06/28,f,2
7976770,Andrew,2013/08/06,t,4
2927288,Tracy,2012/07/13,t,2
1280071,Alexis,2011/10/12,f,1
2546033,Adam,2012/06/04,t,1
10615,Simon,2009/03/18,t,2
2989106,Janet,2012/07/19,f,1
806961,Jim,2011/07/11,t,3
437941,Amy,2011/03/12,f,1
2436512,Crystal,2012/05/22,t,8
3147504,Michelle,2012/08/03,t,2
3158297,Tanner,2012/08/04,f,1
3179679,Jaz,2012/08/06,f,1
3222157,Tracey,2012/08/10,t,1
2076136,Kathleen,2012/04/05,t,3
3262147,Perry,2012/08/14,f,1
2831971,Fred And Kellner,2012/07/04,t,2
3333277,Gisela,2012/08/21,t,2
3343870,Brandon,2012/08/22,f,1
265070,Lata,2010/10/18,t,2
2885190,John & Carol,2012/07/09,f,1
2174080,Jose,2012/04/19,f,1
3484128,Chad,2012/09/05,f,1
3495665,Laura,2012/09/06,f,1
3509782,Meaghan,2012/09/08,f,1
3539325,Garret,2012/09/11,t,3
3547591,Alana,2012/09/12,f,1
3579720,Ryan,2012/09/16,f,1
3584580,Katherine,2012/09/16,f,3
3587826,David,2012/09/16,f,1
2697403,Sabrina,2012/06/20,f,1
3598921,David,2012/09/17,f,1
2207307,Elizabeth & Mike,2012/04/23,t,1
1376031,Whitney,2011/11/06,f,1
3605974,Courtney,2012/09/18,f,1
3608356,Larry,2012/09/18,t,1
3614096,Leah,2012/09/19,f,1
3619116,Amy,2012/09/19,f,1
3626574,Bill,2012/09/20,t,3
3633458,Brent,2012/09/21,f,1
1208231,Nadia,2011/09/25,f,1
3659932,Ken,2012/09/24,f,2
3677807,Mandy,2012/09/26,f,1
3295530,Susan,2012/08/18,f,1
3600437,Jake,2012/09/18,t,1
1024679,Bridget,2011/08/26,f,1
3696936,Mike,2012/09/27,t,1
3718168,Caren,2012/09/30,t,1
3742380,Paola,2012/10/03,t,1
3787052,Carol,2012/10/07,f,1
3803498,Arnie,2012/10/08,f,1
3820555,Justin&Becca,2012/10/10,t,2
3787962,Deena,2012/10/07,t,1
3837842,Catherine,2012/10/11,f,1
3005855,Tami,2012/07/21,f,1
3842544,Laura,2012/10/11,t,1
2862517,Robert,2012/07/07,t,2
3817606,Susanna,2012/10/09,f,1
3901622,James,2012/10/17,f,2
3924382,Phillip,2012/10/19,t,1
3948329,James,2012/10/22,f,1
3827132,James,2012/10/10,t,1
4005799,Gabe,2012/10/29,f,2
11762795,Mandi,2014/01/29,f,2
1795217,Stan,2012/02/22,t,2
