"","tweets"
"1","Dopotutto giusto che abbia trascorso la mattinata a togliere acqua dallo scantinato allagato dalla #piena. Tanto la legge del #contrappasso eserciter prima o poi i suoi effetti su chi non crede al #globalwarming o non fa abbastanza per contrastarlo."
"2","Quelques messages des habitants de notre Plante, leurs rponses la question ""Pourquoi planter des #arbres en #Siberie ?"" Activez les sous-titres pour comprendre les crits sur les feuilles de papier. #reforestation #runforplanet #siberia #GlobalWarming//t.co/e89f1brZgv"
"3","Post 159: 1.5C average increase in temperate since 1975 (approx.) #ClimateData from #Anyang , #China . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/8C0IFcJiuE"
"4","Post 152: 2C average increase in temperate since 1990 (approx.) #ClimateData from #Aputiteeq , #Greenland . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/11OIRvGcVl"
"5","Post 158: 3C average increase in temperate since 1975 (approx.) #ClimateData from #OdesaInternational , #Ukraine . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/uaQpMt6svY"
"6","Post 149: 1.5C average increase in temperate since 1980 (approx.) #ClimateData from #LangdonBay , #UK . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/wJchiQjXyt"
"7","Post 153: 1C average increase in temperate since 1990 (approx.) #ClimateData from #Rangpur , #Bangladesh . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/3MpbxJt6Vr"
"8","Post 157: 2C average increase in temperate since 1975 (approx.) #ClimateData from #NavacerradaPuerto , #Spain . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/X5qVkI9EgR"
"9","Post 154: 2C average increase in temperate since 1975 (approx.) #ClimateData from #Zhangwu , #China . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/AS2Di19g0R"
"10","Post 150: 1.5C average increase in temperate since 1975 (approx.) #ClimateData from #Fuyang , #China . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/L8gCksZes8"
"11","Post 148: 1C average increase in temperate since 1985 (approx.) #ClimateData from #SainteMarie , #Madagascar . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/u9nrCkrxSc"
"12","Post 155: 2.5C average increase in temperate since 1975 (approx.) #ClimateData from #ColumbiaMetropolitanAirport , #USA . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/ujTK0Le7fh"
"13","Post 151: 1.5C average increase in temperate since 1975 (approx.) #ClimateData from #Resistencia , #Argentina . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/2rsCIV5GfT"
"14","Post 147: 2C average increase in temperate since 1975 (approx.) #ClimateData from #Wunstorf , #Germany . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/FAUOk9mfGV"
"15","Post 156: 1.5C average increase in temperate since 1975 (approx.) #ClimateData from #Niederstetten , #Germany . Follow me for daily updates #ClimateChange #ClimateEmergency #ClimateAction #ClimateActionNow #GlobalWarming #ClimateBrawl #ClimatePals #ClimateTips//t.co/YSbsNLWUwA"
"16","#climatecrisis #climateemergency #globalwarming #globalheating #biodiversity #forests #geoethics #destruction #greenland #iceamelt #sealevelrise #europe #co2 #keeling #nuke #nuclear #energy Thank you, @smithyouyou, beautifully exp//t.co/DhSM68sUvx//t.co/w0zFX8A30t"
"17","Scientists are now saying there is a definite connection between man induced species extinction= #ClimateChange, and the #CoronaVirus. #DavidAttenborough #GlobalWarming #ExtinctionRebellion"
"18","Watching #ClimateCriminal #ScottyFromMarketing and Gladys the corrupt #KoalaKiller, milking the bushfire memorial, peddled by #ABCNews for maximum propaganda. #GlobalWarming #Bushfires #ClimateChange"
"19","To keep moisture in the soil, it is better to not cut the grass too short because the grass shades can help in that. If possible as well, collect rainfall for irrigation. #ecofriendly #sustainability #zerowaste #climatechange #globalwarming"
"20","Use ceiling fans in winter and summer to circulate the hot and cold air in the room, and provide more comfort while reducing energy consumption. #ecofriendly #sustainability #zerowaste #climatechange #globalwarming"
"21","Things that you no longer use but are still working fine shouldn't be disposed of right away. You can simply donate them to somebody in need. #ecofriendly #sustainability #zerowaste #climatechange #globalwarming//t.co/Y891NSYhqL"
"22","If possible you can use drip irrigation instead of sprinkling and the gardening hose. #ecofriendly #sustainability #zerowaste #climatechange #globalwarming"
"23","It seems that you've heard about the palm leaf plates. And you are wondering what are they? And why they are the best eco-friendly alternative to the current disposable plastic and pa... #ecofriendly #sustainability #zerowaste #climatechange #globalwarming//t.co/SSf0po1c7I"
"24","Regular security cameras stop working during power outages. While on the other hand, solar outdoor security cameras use solar energy instead of electricity. #ecofriendly #sustainability #zerowaste #climatechange #globalwarming//t.co/fsBzV7T0at"
"25","A portable solar charger is a great solution to charge small devices if you enjoy spending your time outdoors. Continue reading this blog post to know more about this wonderful solution! #ecofriendly #sustainability #globalwarming//t.co/Xt1rLTQ5FW"
"26","Apart from putting less pressure on your pockets, portable solar panels also contribute to the environment! They do not use harmful energy sources and help reduce the carbon footprint. #ecofriendly #sustainability #zerowaste #climatechange #globalwarming//t.co/KeQSvinQit"
"27","The biggest benefit of installing solar outdoor security cameras is that it is powered by sunlight. Therefore, unlike a disposable battery, it won't destroy the environment by causing pollution. #ecofriendly #sustainability #zerowaste #globalwarming//t.co/fsBzV7T0at"
"28","So, now you have an old Apple device. It can be a smartphone, tablet, computer, or even a watch and you want to get rid of it. Just don't. With Apple Trade-In Program you can get valu... #ecofriendly #sustainability #zerowaste #climatechange #globalwarming//t.co/00NjRlqReQ"
"29","Use energy-efficient windows to keep your home temperature, without leaking heat or cold inside or outside your home. #ecofriendly #sustainability #zerowaste #climatechange #globalwarming"
"30","In the Whole Foods Market store, people make sure organic food doesn't mix with other conventional food or produce. #ecofriendly #sustainability #zerowaste #climatechange #globalwarming//t.co/1coI9EFd5j"
"31","I have mentioned the great pacific garbage patch before. It is a huge area of the northern-central Pacific Ocean. And it mainly consists of two massively big masses of garbage. #ecofriendly #sustainability #zerowaste #climatechange #globalwarming//t.co/3jLH7Our0l"
"32","The EPA recommends creating less lawn and grass and plant more trees and shrubs. #ecofriendly #sustainability #zerowaste #climatechange #globalwarming"
"33","The U.S. movement started to take off after World War II, and environmental activists wrote a lot of books and researches to support the movement along the way. The first earth day was celebrated on April 22... #ecofriendly #sustainability #zerowaste #climatechange #globalwarming"
"34","You can find computer monitors, rubber ducks, and LEGOs in the patch. And you can also find fishing nets and other plastic materials coming from land as well as boats sailing in the O... #ecofriendly #sustainability #zerowaste #climatechange #globalwarming//t.co/3jLH7Our0l"
"35","Every time you buy dishwasher liquid you are buying a plastic bottle. Try to find tablets or powder that is packaged into eco-friendly materials. #ecofriendly #sustainability #zerowaste #climatechange #globalwarming//t.co/Nee55K5R1o"
